"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"13.05.2026","98,54","98,32","98,60","98,27","","0,25%"
"12.05.2026","98,30","97,96","98,46","97,95","","0,35%"
"11.05.2026","97,96","98,04","98,15","97,85","","0,06%"
"08.05.2026","97,90","98,25","98,28","97,83","","-0,17%"
"07.05.2026","98,07","98,03","98,28","97,82","","0,04%"
"06.05.2026","98,02","98,31","98,34","97,63","","-0,43%"
"05.05.2026","98,44","98,47","98,58","98,31","","0,07%"
"04.05.2026","98,37","98,05","98,54","97,97","","0,22%"
"01.05.2026","98,16","98,13","98,24","97,72","","0,10%"
"30.04.2026","98,06","98,85","99,09","98,01","","-0,91%"
"29.04.2026","98,96","98,61","99,05","98,57","","0,33%"
"28.04.2026","98,64","98,47","98,87","98,43","","0,15%"
"27.04.2026","98,50","99,33","99,34","98,21","","-0,04%"
"24.04.2026","98,53","98,82","98,92","98,49","","-0,24%"
"23.04.2026","98,77","98,62","98,94","98,53","","0,18%"
"22.04.2026","98,59","98,40","98,64","98,21","","0,20%"
"21.04.2026","98,39","98,06","98,57","98,06","","0,30%"
"20.04.2026","98,10","98,28","98,39","98,01","","0,00%"
"17.04.2026","98,10","98,19","98,29","97,63","","-0,12%"
"16.04.2026","98,21","98,01","98,29","97,83","","0,16%"
"15.04.2026","98,06","98,07","98,29","98,00","","-0,07%"
"14.04.2026","98,12","98,37","98,41","97,97","","-0,25%"
"13.04.2026","98,37","99,05","99,18","98,36","","-0,29%"
