Data;Ora;Open;High;Low;Close;Volume
29/12/2014;02:00:00;89.98;90.27;89.79;90.19;0
26/12/2014;02:00:00;89.87;90.08;89.78;90.03;0
24/12/2014;02:00:00;90.04;90.08;89.81;89.97;0
23/12/2014;02:00:00;89.77;90.16;89.63;90.06;0
22/12/2014;02:00:00;89.63;89.79;89.37;89.77;0
19/12/2014;02:00:00;89.24;89.65;89.18;89.60;0
18/12/2014;02:00:00;89.13;89.40;88.92;89.24;0
17/12/2014;02:00:00;88.02;89.14;87.90;89.13;0
16/12/2014;02:00:00;88.44;88.51;87.63;88.13;0
15/12/2014;02:00:00;88.21;88.63;88.17;88.46;0
12/12/2014;02:00:00;88.59;88.64;88.11;88.36;0
11/12/2014;02:00:00;87.95;88.79;87.91;88.66;0
10/12/2014;02:00:00;88.65;88.81;88.19;88.27;0
09/12/2014;02:00:00;89.18;89.27;88.16;88.69;0
08/12/2014;02:00:00;89.40;89.55;88.91;89.04;0
05/12/2014;02:00:00;88.58;89.47;88.58;89.33;0
04/12/2014;02:00:00;88.94;89.12;88.21;88.70;0
03/12/2014;02:00:00;88.60;89.01;88.58;88.96;0
02/12/2014;02:00:00;87.98;88.67;87.95;88.65;0
01/12/2014;02:00:00;88.23;88.45;87.78;87.95;0
28/11/2014;02:00:00;88.07;88.39;87.94;88.36;0
26/11/2014;02:00:00;87.85;88.04;87.52;87.61;0
25/11/2014;02:00:00;88.20;88.33;87.82;87.92;0
24/11/2014;02:00:00;88.28;88.44;88.07;88.15;0
21/11/2014;02:00:00;87.63;88.39;87.45;88.31;0
20/11/2014;02:00:00;87.68;87.94;87.49;87.59;0
19/11/2014;02:00:00;87.68;87.78;87.35;87.65;0
18/11/2014;02:00:00;87.93;87.97;87.51;87.58;0
17/11/2014;02:00:00;87.54;87.97;87.18;87.93;0
14/11/2014;02:00:00;87.83;88.27;87.40;87.53;0
13/11/2014;02:00:00;87.81;87.88;87.62;87.67;0
12/11/2014;02:00:00;87.62;87.90;87.40;87.82;0
11/11/2014;02:00:00;87.80;88.06;87.37;87.53;0
10/11/2014;02:00:00;87.56;87.83;87.22;87.81;0
07/11/2014;02:00:00;88.05;88.19;87.47;87.64;0
06/11/2014;02:00:00;87.41;88.15;87.13;88.01;0
05/11/2014;02:00:00;87.02;87.61;86.94;87.44;0
04/11/2014;02:00:00;87.25;87.30;86.88;86.98;0
03/11/2014;02:00:00;87.08;87.41;87.02;87.31;0
31/10/2014;02:00:00;86.18;87.13;86.15;86.88;0
30/10/2014;02:00:00;85.98;86.49;85.98;86.15;0
29/10/2014;02:00:00;85.40;86.05;85.19;85.95;0
28/10/2014;02:00:00;85.57;85.68;85.24;85.41;0
27/10/2014;02:00:00;85.69;85.71;85.41;85.50;0
24/10/2014;02:00:00;85.83;85.91;85.54;85.73;0
23/10/2014;02:00:00;85.74;85.94;85.66;85.84;0
22/10/2014;02:00:00;85.40;85.79;85.23;85.74;0
21/10/2014;02:00:00;85.02;85.33;84.74;85.31;0
20/10/2014;02:00:00;85.21;85.38;84.91;84.95;0
17/10/2014;02:00:00;84.91;85.25;84.76;85.19;0
16/10/2014;02:00:00;84.91;85.43;84.74;85.00;0
15/10/2014;02:00:00;85.90;86.01;84.47;85.15;0
14/10/2014;02:00:00;85.26;85.88;85.25;85.82;0
13/10/2014;02:00:00;85.82;85.82;85.41;85.43;0
10/10/2014;02:00:00;85.55;85.98;85.40;85.91;0
09/10/2014;02:00:00;85.27;85.67;84.94;85.52;0
08/10/2014;02:00:00;85.59;85.92;85.20;85.30;0
07/10/2014;02:00:00;85.78;86.10;85.55;85.67;0
06/10/2014;02:00:00;86.64;86.68;85.64;85.71;0
03/10/2014;02:00:00;85.63;86.75;85.63;86.69;0
02/10/2014;02:00:00;85.86;85.90;85.45;85.60;0
01/10/2014;02:00:00;85.91;86.18;85.78;85.97;0
30/09/2014;02:00:00;85.61;86.22;85.49;85.94;0
29/09/2014;02:00:00;85.62;85.80;85.46;85.59;0
26/09/2014;02:00:00;85.14;85.69;85.11;85.64;0
25/09/2014;02:00:00;85.10;85.49;85.05;85.20;0
24/09/2014;02:00:00;84.71;85.09;84.60;85.05;0
23/09/2014;02:00:00;84.69;84.76;84.37;84.66;0
22/09/2014;02:00:00;84.81;84.86;84.52;84.67;0
19/09/2014;02:00:00;84.28;84.80;84.23;84.80;0
18/09/2014;02:00:00;84.74;84.74;84.22;84.32;0
17/09/2014;02:00:00;84.10;84.71;83.94;84.70;0
16/09/2014;02:00:00;84.24;84.37;83.86;84.07;0
15/09/2014;02:00:00;84.18;84.41;84.15;84.26;0
12/09/2014;02:00:00;84.26;84.41;84.08;84.24;0
11/09/2014;02:00:00;84.21;84.34;84.07;84.30;0
10/09/2014;02:00:00;84.14;84.42;84.05;84.25;0
09/09/2014;02:00:00;84.31;84.52;84.04;84.28;0
08/09/2014;02:00:00;83.80;84.35;83.80;84.23;0
05/09/2014;02:00:00;83.84;83.94;83.56;83.76;0
04/09/2014;02:00:00;82.84;83.87;82.84;83.82;0
03/09/2014;02:00:00;82.97;83.06;82.83;82.87;0
02/09/2014;02:00:00;82.76;83.04;82.75;82.99;0
29/08/2014;02:00:00;82.48;82.75;82.42;82.75;0
28/08/2014;02:00:00;82.47;82.59;82.32;82.48;0
27/08/2014;02:00:00;82.67;82.73;82.40;82.43;0
26/08/2014;02:00:00;82.59;82.70;82.43;82.65;0
25/08/2014;02:00:00;82.46;82.61;82.45;82.55;0
22/08/2014;02:00:00;82.16;82.46;82.06;82.34;0
21/08/2014;02:00:00;82.24;82.36;82.10;82.15;0
20/08/2014;02:00:00;81.87;82.28;81.87;82.25;0
19/08/2014;02:00:00;81.59;81.90;81.58;81.88;0
18/08/2014;02:00:00;81.42;81.61;81.38;81.58;0
15/08/2014;02:00:00;81.60;81.62;81.38;81.42;0
14/08/2014;02:00:00;81.60;81.69;81.41;81.59;0
13/08/2014;02:00:00;81.51;81.68;81.36;81.60;0
12/08/2014;02:00:00;81.47;81.68;81.47;81.50;0
11/08/2014;02:00:00;81.40;81.49;81.40;81.47;0
08/08/2014;02:00:00;81.53;81.60;81.26;81.39;0
07/08/2014;02:00:00;81.42;81.64;81.38;81.52;0
06/08/2014;02:00:00;81.54;81.72;81.40;81.44;0
05/08/2014;02:00:00;81.31;81.63;81.29;81.52;0
04/08/2014;02:00:00;81.30;81.38;81.29;81.33;0
01/08/2014;02:00:00;81.45;81.54;81.19;81.30;0
31/07/2014;02:00:00;81.42;81.57;81.38;81.46;0
30/07/2014;02:00:00;81.21;81.55;81.18;81.42;0
29/07/2014;02:00:00;81.01;81.25;80.99;81.21;0
28/07/2014;02:00:00;81.02;81.05;80.98;81.03;0
25/07/2014;02:00:00;80.86;81.08;80.80;81.03;0
24/07/2014;02:00:00;80.82;80.91;80.73;80.87;0
23/07/2014;02:00:00;80.78;80.83;80.72;80.81;0
22/07/2014;02:00:00;80.56;80.84;80.54;80.78;0
21/07/2014;02:00:00;80.52;80.60;80.42;80.56;0
18/07/2014;02:00:00;80.56;80.69;80.48;80.52;0
17/07/2014;02:00:00;80.53;80.59;80.47;80.52;0
16/07/2014;02:00:00;80.38;80.58;80.38;80.56;0
15/07/2014;02:00:00;80.17;80.41;80.14;80.39;0
14/07/2014;02:00:00;80.19;80.25;80.08;80.19;0
11/07/2014;02:00:00;80.13;80.23;80.03;80.19;0
10/07/2014;02:00:00;80.02;80.20;79.98;80.13;0
09/07/2014;02:00:00;80.17;80.23;79.98;79.99;0
08/07/2014;02:00:00;80.22;80.30;80.14;80.18;0
07/07/2014;02:00:00;80.26;80.36;80.19;80.22;0
03/07/2014;02:00:00;79.95;80.32;79.95;80.21;0
02/07/2014;02:00:00;79.81;80.00;79.80;79.96;0
01/07/2014;02:00:00;79.79;79.87;79.74;79.82;0
30/06/2014;02:00:00;80.01;80.09;79.76;79.78;0
27/06/2014;02:00:00;80.21;80.22;80.01;80.04;0
26/06/2014;02:00:00;80.22;80.38;80.14;80.23;0
25/06/2014;02:00:00;80.32;80.35;80.09;80.22;0
24/06/2014;02:00:00;80.27;80.43;80.19;80.33;0
23/06/2014;02:00:00;80.37;80.40;80.24;80.26;0
20/06/2014;02:00:00;80.31;80.49;80.20;80.37;0
19/06/2014;02:00:00;80.41;80.41;80.15;80.32;0
18/06/2014;02:00:00;80.61;80.67;80.36;80.58;0
