Data; Ora; Open; High; low; Close; Volume
21/10/2002;01:30:00;1.5483;1.54855;1.5474;1.5474;0
21/10/2002;02:00:00;1.5473;1.5482;1.5472;1.54795;0
21/10/2002;02:30:00;1.5478;1.54825;1.5473;1.5481;0
21/10/2002;03:00:00;1.54815;1.5504;1.54805;1.54955;0
21/10/2002;03:30:00;1.54945;1.55;1.54905;1.5494;0
21/10/2002;04:00:00;1.54945;1.54955;1.5483;1.5491;0
21/10/2002;04:30:00;1.54895;1.54955;1.54845;1.5495;0
21/10/2002;05:00:00;1.5495;1.5496;1.54705;1.5471;0
21/10/2002;05:30:00;1.54685;1.54835;1.54655;1.54795;0
21/10/2002;06:00:00;1.54785;1.54785;1.54665;1.5468;0
21/10/2002;06:30:00;1.54675;1.54785;1.54635;1.5478;0
21/10/2002;07:00:00;1.54775;1.54785;1.54685;1.5472;0
21/10/2002;07:30:00;1.54725;1.54725;1.54605;1.5463;0
21/10/2002;08:00:00;1.54635;1.5476;1.54625;1.5476;0
21/10/2002;08:30:00;1.54755;1.5477;1.54655;1.54695;0
21/10/2002;09:00:00;1.5469;1.54735;1.5459;1.546;0
21/10/2002;09:30:00;1.5458;1.5458;1.5444;1.54465;0
21/10/2002;10:00:00;1.54425;1.54435;1.54235;1.5428;0
21/10/2002;10:30:00;1.54265;1.5427;1.54135;1.54155;0
21/10/2002;11:00:00;1.54155;1.5432;1.54155;1.5424;0
21/10/2002;11:30:00;1.54235;1.5428;1.5423;1.5427;0
21/10/2002;12:00:00;1.543;1.54345;1.54295;1.5432;0
21/10/2002;12:30:00;1.5429;1.5429;1.5428;1.5429;0
21/10/2002;13:00:00;1.54295;1.54325;1.5427;1.54275;0
21/10/2002;13:30:00;1.5427;1.54365;1.5426;1.54315;0
21/10/2002;14:00:00;1.54325;1.54415;1.54325;1.54395;0
21/10/2002;14:30:00;1.54395;1.544;1.5432;1.5435;0
21/10/2002;15:00:00;1.5435;1.5435;1.54265;1.5427;0
21/10/2002;15:30:00;1.54265;1.54275;1.5417;1.5419;0
21/10/2002;16:00:00;1.54195;1.5436;1.5419;1.54305;0
21/10/2002;16:30:00;1.543;1.5436;1.543;1.5432;0
21/10/2002;17:00:00;1.5431;1.54335;1.5428;1.5428;0
21/10/2002;17:30:00;1.5428;1.5431;1.5428;1.543;0
21/10/2002;18:00:00;1.543;1.54345;1.54275;1.5433;0
21/10/2002;18:30:00;1.54315;1.544;1.54315;1.544;0
21/10/2002;19:00:00;1.544;1.544;1.5432;1.5432;0
21/10/2002;19:30:00;1.5431;1.5432;1.5426;1.5426;0
21/10/2002;20:00:00;1.54255;1.54295;1.5415;1.5428;0
21/10/2002;20:30:00;1.54275;1.543;1.54245;1.54245;0
21/10/2002;21:00:00;1.54235;1.54335;1.5423;1.54325;0
21/10/2002;21:30:00;1.5433;1.54365;1.54275;1.5429;0
21/10/2002;22:00:00;1.54295;1.54335;1.5429;1.54325;0
21/10/2002;22:30:00;1.5433;1.54345;1.5432;1.5433;0
21/10/2002;23:00:00;1.54325;1.5435;1.54315;1.54345;0
21/10/2002;23:30:00;1.54345;1.54415;1.5432;1.5441;0
22/10/2002;00:00:00;1.54405;1.5445;1.54385;1.5439;0
22/10/2002;00:30:00;1.54395;1.544;1.54285;1.5432;0
22/10/2002;01:00:00;1.54325;1.5441;1.5432;1.54345;0
22/10/2002;01:30:00;1.5434;1.54355;1.54225;1.5426;0
22/10/2002;02:00:00;1.54255;1.54475;1.5425;1.5446;0
22/10/2002;02:30:00;1.54455;1.5466;1.5444;1.54575;0
22/10/2002;03:00:00;1.5458;1.5466;1.5453;1.54615;0
